Words	Pseudoword	Included	Sound	Action	Letters	n_Syllables	Geraeusch	Geraeusch_SD	Handlung	Handlung_SD	Visuell	Visuell_SD	Vertrautheit	Vertrautheit_SD	Lemma_freq	Neighbors	Bigram_freq	Trigram_freq	Natural	Living	Animate	CongResp_S_Prop	CongResp_S_Prop (philosopher exluded)	RT_S_Mean	CongResp_A_Prop	CongResp_A_Prop (philosopher exluded)	RT_A_Mean																																																																
Rakete	Tifete	1	1	1	6	3	5,31	1,14	4,31	1,74	4,25	1,29	5,44	1,09	12,48	3	254957	168757,78	0	0	0	1	1	751,33	0,92	0,91	895,67																																																																
Rassel	Wossel	1	1	1	6	2	5,5	1,03	4,94	1,24	3,13	1,71	5,56	0,89	1,28	11,99	122404,49	43586,97	0	0	0	0,92	0,91	779,33	0,92	0,91	824																																																																
Rochen	Bichen	1	0	0	6	2	1,38	0,5	1,5	1,32	4,31	1,78	5,06	1,12	0,56	14,13	565006,15	388593,13	1	1	1	0,92	0,91	799,08	1	1	753,58																																																																
Schabe	Strame	1	0	0	6	2	1,88	1,02	1,56	0,51	3,44	1,46	4,69	1,58	1,1	9,42	367995,83	187702,79	1	1	1	1	1	858,58	1	1	833,25																																																																
Scheck	Sprend	1	0	1	6	1	1,06	0,24	5,11	1,02	3,5	1,65	5	1,5	5,02	10,27	228613,66	78001,12	0	0	0	1	1	847,08	0,83	0,91	987																																																																
Sirene	Torefe	1	1	0	6	3	5,88		1,63		1,63		5,48	0,81	3,63	5,14	436207,16	191500,44	0	0	0	1	1	758,25	0,5	0,45	1032,33																																																																
Skizze	Pfazze	1	0	1	6	2	1,09	0,29	5,04	0,98	4,76	1,79	5,57	0,81	11,36	2,57	170737,23	159699,85	0	0	0	1	1	688,17	0,75	0,73	940,5																																																																
Spaten	Groten	1	0	1	6	2	1,73		5,07		3,57		5,71	0,69	3,96	9,42	502930,66	378445,79	0	0	0	0,83	0,82	904,5	0,92	0,91	922,58																																																																
Specht	Zwecht	1	1	0	6	1	5		1,53		4,47		5,88	0,34	2,24	3	279393,44	157156,9	1	1	1	0,75	0,73	800,83	0,92	0,91	828,92																																																																
Tandem	Kangem	1	0	1	6	2	1,6		4,87		4,87		5,54	0,93	0,4	3	265028,06	90576,58	0	0	0	1	1	923,17	0,92	0,91	969,42																																																																
Waffel	Miffel	1	0	1	6	2	1,5	0,86	4,72	1,49	3,72	1,64	5,83	0,51	0,43	3,85	79939,58	38714,84	0	0	0	1	1	771,17	0,75	0,73	909,92																																																																
Auspuff	Aufrubs	1	1	0	7	2	5	1,05	2,53	1,47	3,58	1,61	5,1	1,14	0,52	0,86	77658,95	38758,08	0	0	0	0,92	0,91	900,08	0,75	0,73	975,67																																																																
Denkmal	Dernbal	1	0	0	7	2	1		1,8		4,6		5,75	0,74	20,39	3	259577,98	44555,71	0	0	0	1	1	786,75	1	1	913,75																																																																
Drossel	Knassel	1	1	0	7	2	4,44	1,63	1,13	0,34	3,44	1,15	4,81	1,33	0,7	1,28	126558,73	51120,9	1	1	1	0,58	0,55	860,08	1	1	912																																																																
Dynamit	Zönamot	1	1	1	7	3	5,39	0,92	4,83	1,34	3,17	1,47	5,22	1	1,95	3	175077,93	128799,89	0	0	0	0,83	0,82	751,75	0,83	0,91	895,92																																																																
Elefant	Alehagt	1	1	0	7	3	4,67		1,67		5,6		5,96	0,2	10,28	2,14	207330,28	108084,34	1	1	1	0,67	0,64	898,08	1	1	839,17																																																																
Frisbee	Fliskee	1	0	1	7	2	1,47		5,13		4,07		5,67	0,92	0,02	0,43	248096,22	151427,96	0	0	0	1	1	960,58	0,75	0,73	778,25																																																																
Gazelle	Lazende	1	0	0	7	3	1,88	1,02	1,19	0,54	3,63	1,82	4,94	1,39	0,69	2,57	237203,24	169477,82	1	1	1	0,92	0,91	926,08	1	1	785,75																																																																
